tweet_id,tweet_created_at_ts,user_screen_name,user_location,tweet_place_name,tweet_place_country_code,tweet_text
992491897657540608,1525463482,meltedlaughter,Ireland,Galway,IE,"They seem like little skulls to me. Maybe a Halloween wallpaper...

#pattern… https://t.co/LnXK77WFdl"
992479616735547393,1525460554,canisgallicus,,Dublin City,IE,"@loreillysf ""If a businessman makes a mistake, he suffers the consequences. If a bureaucrat makes a mistake, you suffer the consequences.""  Ayn Rand"
992490102478835714,1525463054,tracymahedy,limerick,Limerick,IE,@sheila_clavin @Limericksports 👍Sounds great @sheila_clavin unfortunately I’m away with the TY all next week but will definitely pop in and see ur next blitz
992479268591546369,1525460471,yasminkai,"dublin, ireland. ",South Dublin,IE,@pcrkies @skittlesketches @DONBROCO @RobDamiani @TheLaFontaines @yungblud 😭😭😭
992635317671878656,1525497676,enzo_dowling,Ireland ,Kildare,IE,@CarlonetCarlo @iefun_ @_Carol2018 @deepaksaxena88  https://t.co/Z3OVX1u4nb
992637460965412865,1525498187,JimQuinlan007,"Limerick, Ireland",Limerick,IE,"Tad tipsy last after super dinner at  ‘The Old Fire station ‘, with their  BYO B policy ,  Do wear ur  shades though guys  ,plenty of factor 50 and u’ll be ‘grand ‘.Great balls of fire 🔥 ‘ .#RiverfestLimerick . https://t.co/4rWyiur1ZM"
992296547931979776,1525416907,KarloMaz,"Dublin City, Ireland",Dublin City,IE,"@jesskellynt I’m on a GDPR Awareness Group in work 
FUN FUN FUN 👀 https://t.co/6DtvJjwgpL"
992294467565584387,1525416411,bernardoshea1,"killarney, ireland",Kerry,IE,Car crash incoming 😳 https://t.co/voP3MKkBNN
992560503879819264,1525479839,Michelle_Brady,"Dublin City, Ireland",Dublin City,IE,Fridays 🍻 https://t.co/vOPbk4r3gd
992555827209949186,1525478724,lisasaputo,Dublin,Dublin City,IE,@stan1420 @JOEdotie @ardalsfolly @Glinner @AmnestyIreland So you’re voting Yes?
992558972933722113,1525479474,Niamh_156,"Dublin City, Ireland",Dublin City,IE,Awh wouldn’t ye be sick of everyone’s shite moods rubbing off on ye
992566933739450369,1525481372,logiebear196725,"Donegal, Ireland",Donegal,IE,"@badangelfemale I don’t care about Spain or Germany as it’s irrelevant😐the facts are United have spent huge money under LVG and Mourinho and aren’t competing to win elite trophies, the football is dreadful to watch and United have lost their identity😐"
992326411389210624,1525424027,NewToMyHome,Ireland,Mayo,IE,"Mullenmore South , Crossmolina, Mayo ⇨ POA | Site 13.5 Acres For Sale By .. | https://t.co/jZ293rtGPz | #mayo #crossmolina"
992323236275937282,1525423270,NewToMyHome,Ireland,Louth,IE,"An Rian, Drogheda, Louth ⇨ €297,500 | 4 Bed Detached House 158 m² .. | https://t.co/t6XkZ84Rn8 | #louth #drogheda"
992326847575810049,1525424131,sunbabe08,"cork, ireland",Cork,IE,@NeilRedFM Actually was walking along the lough on Monday with my friend and we were wondering what was going on with the fish. They didn't look healthy 😞
992316110157635584,1525421571,StanMassueras,"Dublin City, Ireland",Dublin City,IE,My favorite song of year 2000 was this tune from @radiosoulwax. Sometimes life send you small signals like this one https://t.co/nGdct96bTZ
992314356930109440,1525421153,pagep195,Dublin,Fingal,IE,Fantastic lineup for this - well done @DavidBellFirebr 👍 https://t.co/2ZTWWSHsAT
992316265338494977,1525421608,Sloosh14,"Cork, Ireland",Kerry,IE,@daithi_62 @tonyleen Never ever replaced the likes of Gilberto! Criminal looking back through the years 😠
992334544132104192,1525425966,IliyanaStareva,"Dublin-based, global mindset",Dublin City,IE,"@mikelovestweets @PR_Place @amandacomms @nlightspr @NikiTibble @wadds @vasvalch @cornucopuia @brownbare @stedavies Likewise! Thanks, Richard!"
992334711912574976,1525426006,NasheDouch,"Meath, Ireland",Meath,IE,🔥 https://t.co/cUMocFaUut
992341561181638656,1525427639,mussystephen,"Cork, Ireland",Cork,IE,We can all bitch and moan and moan again on here about last night but thats not going to change the result ..Wats done is done ..Now we move forward..
992336284785004544,1525426381,unitedscotirish,Ireland,Kildare,IE,"Woke up on Tuesday with a spot above my eyebrow, then on Thursday got one below my lip now this morning one on my lip.. What’s the story I’m 40 not 14... Stop with the teenage acne!!! You could seriously join them up and make a lovely dot to dot picture... https://t.co/AdDdHzVBlH"
